# t, p, e, x, pp, pt, pr
1.486480697039286047e+07,1.029834772138902288e+01,3.194839771230016390e-01,1.000000000000000000e+00,6.854469946575736685e+04,6.854469946575736685e+04,4.644391342643125245e+04
1.543049688888837397e+07,1.020642242480680117e+01,3.153151875515630698e-01,1.000000000000000000e+00,7.166767206983933283e+04,7.166767206983933283e+04,4.844672695157508861e+04
1.601103975769170187e+07,1.010838123143435929e+01,3.108939097855563660e-01,1.000000000000000000e+00,7.493068581856017408e+04,7.493068581856017408e+04,5.052534151717509667e+04
1.652273213465830311e+07,1.001856272792570834e+01,3.068667272799615597e-01,1.000000000000000000e+00,7.785837827079622366e+04,7.785837827079622366e+04,5.237759336359379813e+04
1.703442451162490249e+07,9.925244011320158322e+00,3.027070003620747629e-01,1.000000000000000000e+00,8.083742463236594631e+04,8.083742463236594631e+04,5.424935721859321347e+04
1.736530302954116464e+07,9.862877239129307583e+00,2.999412515714474647e-01,1.000000000000000000e+00,8.279259275188804895e+04,8.279259275188804895e+04,5.547039026589509012e+04
1.781271034806504101e+07,9.775800401694009878e+00,2.960994180473024429e-01,1.000000000000000000e+00,8.547425400581141002e+04,8.547425400581141002e+04,5.713515812899922457e+04
1.826011766658892110e+07,9.685292725870743524e+00,2.921313242895634543e-01,1.000000000000000000e+00,8.820186237477796385e+04,8.820186237477796385e+04,5.881610669645854068e+04
1.870752498511279747e+07,9.591008387889557341e+00,2.880258560612742325e-01,1.000000000000000000e+00,9.097827426326215209e+04,9.097827426326215209e+04,6.051370693972842855e+04
1.909099795993192121e+07,9.506885769225984717e+00,2.843880608284722888e-01,1.000000000000000000e+00,9.339920596176774416e+04,9.339920596176774416e+04,6.198234014441725594e+04
1.947447093475104496e+07,9.419392637617068686e+00,2.806306745958322968e-01,1.000000000000000000e+00,9.586062169789886684e+04,9.586062169789886684e+04,6.346387261966996448e+04
1.985794390957016870e+07,9.328179706859472731e+00,2.767430416044051045e-01,1.000000000000000000e+00,9.836507303358337958e+04,9.836507303358337958e+04,6.495861688974106801e+04
